New data
36468 37233 36002 37168 11299 37167 37535 36750 37266 15170 37263 37449 36610 37329 11966 37329 37850 36052 36279 15604 36281 36777 35844 35891 10237
37167 37535 36750 37266 15170 37263 37449 36610 37329 11966 37329 37850 36052 36279 15604 36281 36777 35844 35891 10237 35901 36415 35000 35062 13775
37263 37449 36610 37329 11966 37329 37850 36052 36279 15604 36281 36777 35844 35891 10237 35901 36415 35000 35062 13775 35062 35909 34737 35677 14008
37329 37850 36052 36279 15604 36281 36777 35844 35891 10237 35901 36415 35000 35062 13775 35062 35909 34737 35677 14008 35672 35939 34000 34426 19109
36281 36777 35844 35891 10237 35901 36415 35000 35062 13775 35062 35909 34737 35677 14008 35672 35939 34000 34426 19109 34426 35142 34020 34192 16110
35901 36415 35000 35062 13775 35062 35909 34737 35677 14008 35672 35939 34000 34426 19109 34426 35142 34020 34192 16110 34193 35311 33400 35197 17678
35062 35909 34737 35677 14008 35672 35939 34000 34426 19109 34426 35142 34020 34192 16110 34193 35311 33400 35197 17678 35197 35670 34482 35468 8686
35672 35939 34000 34426 19109 34426 35142 34020 34192 16110 34193 35311 33400 35197 17678 35197 35670 34482 35468 8686 35468 35600 34230 34571 10995
34426 35142 34020 34192 16110 34193 35311 33400 35197 17678 35197 35670 34482 35468 8686 35468 35600 34230 34571 10995 34572 35019 33971 34624 11645
34193 35311 33400 35197 17678 35197 35670 34482 35468 8686 35468 35600 34230 34571 10995 34572 35019 33971 34624 11645 34624 34681 32009 32208 32172
35197 35670 34482 35468 8686 35468 35600 34230 34571 10995 34572 35019 33971 34624 11645 34624 34681 32009 32208 32172 32206 32784 31037 31384 34496
35468 35600 34230 34571 10995 34572 35019 33971 34624 11645 34624 34681 32009 32208 32172 32206 32784 31037 31384 34496 31384 32751 31038 32468 22066
34572 35019 33971 34624 11645 34624 34681 32009 32208 32172 32206 32784 31037 31384 34496 31384 32751 31038 32468 22066 32468 32550 30071 30850 23628
34624 34681 32009 32208 32172 32206 32784 31037 31384 34496 31384 32751 31038 32468 22066 32468 32550 30071 30850 23628 30851 31029 28850 30943 46814
32206 32784 31037 31384 34496 31384 32751 31038 32468 22066 32468 32550 30071 30850 23628 30851 31029 28850 30943 46814 30943 32152 30615 30842 22771
31384 32751 31038 32468 22066 32468 32550 30071 30850 23628 30851 31029 28850 30943 46814 30943 32152 30615 30842 22771 30846 31997 30500 31710 21911
32468 32550 30071 30850 23628 30851 31029 28850 30943 46814 30943 32152 30615 30842 22771 30846 31997 30500 31710 21911 31712 32767 31286 32458 21741
30851 31029 28850 30943 46814 30943 32152 30615 30842 22771 30846 31997 30500 31710 21911 31712 32767 31286 32458 21741 32462 33655 31955 33589 17631
30943 32152 30615 30842 22771 30846 31997 30500 31710 21911 31712 32767 31286 32458 21741 32462 33655 31955 33589 17631 33589 33826 32580 32945 12101
30846 31997 30500 31710 21911 31712 32767 31286 32458 21741 32462 33655 31955 33589 17631 33589 33826 32580 32945 12101 32950 32974 32053 32365 12211
31712 32767 31286 32458 21741 32462 33655 31955 33589 17631 33589 33826 32580 32945 12101 32950 32974 32053 32365 12211 32365 33456 32267 32931 11464
32462 33655 31955 33589 17631 33589 33826 32580 32945 12101 32950 32974 32053 32365 12211 32365 33456 32267 32931 11464 32931 33104 31511 31645 13454
33589 33826 32580 32945 12101 32950 32974 32053 32365 12211 32365 33456 32267 32931 11464 32931 33104 31511 31645 13454 31643 32289 31390 31877 10854
32950 32974 32053 32365 12211 32365 33456 32267 32931 11464 32931 33104 31511 31645 13454 31643 32289 31390 31877 10854 31877 32500 31759 32348 9253
32365 33456 32267 32931 11464 32931 33104 31511 31645 13454 31643 32289 31390 31877 10854 31877 32500 31759 32348 9253 32348 32538 31812 32078 7357
32931 33104 31511 31645 13454 31643 32289 31390 31877 10854 31877 32500 31759 32348 9253 32348 32538 31812 32078 7357 32078 32480 31630 32480 7766
31643 32289 31390 31877 10854 31877 32500 31759 32348 9253 32348 32538 31812 32078 7357 32078 32480 31630 32480 7766 32480 33071 32346 32801 11135
31877 32500 31759 32348 9253 32348 32538 31812 32078 7357 32078 32480 31630 32480 7766 32480 33071 32346 32801 11135 32797 33030 32465 32833 7600
32348 32538 31812 32078 7357 32078 32480 31630 32480 7766 32480 33071 32346 32801 11135 32797 33030 32465 32833 7600 32833 32931 31858 31957 9939
32078 32480 31630 32480 7766 32480 33071 32346 32801 11135 32797 33030 32465 32833 7600 32833 32931 31858 31957 9939 31956 32139 30900 31306 12601
32480 33071 32346 32801 11135 32797 33030 32465 32833 7600 32833 32931 31858 31957 9939 31956 32139 30900 31306 12601 31306 32369 31250 32259 8934
32797 33030 32465 32833 7600 32833 32931 31858 31957 9939 31956 32139 30900 31306 12601 31306 32369 31250 32259 8934 32259 33674 32175 33568 14446
32833 32931 31858 31957 9939 31956 32139 30900 31306 12601 31306 32369 31250 32259 8934 32259 33674 32175 33568 14446 33568 33797 33045 33346 11224
31956 32139 30900 31306 12601 31306 32369 31250 32259 8934 32259 33674 32175 33568 14446 33568 33797 33045 33346 11224 33347 33548 32750 33185 11388
31306 32369 31250 32259 8934 32259 33674 32175 33568 14446 33568 33797 33045 33346 11224 33347 33548 32750 33185 11388 33185 34875 33050 34458 21109
32259 33674 32175 33568 14446 33568 33797 33045 33346 11224 33347 33548 32750 33185 11388 33185 34875 33050 34458 21109 34458 34600 33373 33411 14607
33568 33797 33045 33346 11224 33347 33548 32750 33185 11388 33185 34875 33050 34458 21109 34458 34600 33373 33411 14607 33411 33473 31910 32254 15722
33347 33548 32750 33185 11388 33185 34875 33050 34458 21109 34458 34600 33373 33411 14607 33411 33473 31910 32254 15722 32254 32827 31458 31518 13175
33185 34875 33050 34458 21109 34458 34600 33373 33411 14607 33411 33473 31910 32254 15722 32254 32827 31458 31518 13175 31520 32312 31100 31643 16200
