Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1611410400000,31865.19000000,31980.00000000,31650.00000000,31721.74000000,2196.24159200,1611413999999,69824254.71730175,65547,1033.45308100,32862885.30435583,0
1611414000000,31719.94000000,32180.00000000,31609.05000000,31877.10000000,2104.61671700,1611417599999,67298734.35128252,61911,1092.15660800,34924429.28608447,0
1611417600000,31877.10000000,32328.03000000,31759.65000000,32121.84000000,2518.06613900,1611421199999,80752741.53370140,79587,1329.27819800,42644211.27737038,0
1611421200000,32120.31000000,32409.97000000,32044.77000000,32239.09000000,2251.77458200,1611424799999,72497536.19198385,69594,1186.89480500,38215766.98575053,0
1611424800000,32238.80000000,32345.00000000,31825.00000000,32167.48000000,2438.10419100,1611428399999,78273000.74346228,57407,1114.08513700,35766365.54075967,0
1611428400000,32169.92000000,32500.00000000,32138.24000000,32348.79000000,2045.51433100,1611431999999,66125445.50675190,51425,995.62414300,32183374.17893218,0
1611432000000,32348.78000000,32400.00000000,32021.73000000,32191.33000000,1524.95791900,1611435599999,49086641.98185392,44347,719.01656600,23142927.32853177,0
1611435600000,32192.93000000,32442.68000000,31812.50000000,32344.22000000,2255.05685100,1611439199999,72529349.69565234,61725,1137.58245800,36600018.68789374,0
1611439200000,32344.21000000,32538.61000000,31966.47000000,32049.97000000,1596.25194500,1611442799999,51491464.30404120,52393,819.23978100,26441108.79739147,0
1611442800000,32050.03000000,32122.78000000,31835.85000000,32078.00000000,1980.98185200,1611446399999,63388240.68648952,39994,830.10536400,26556559.61817374,0
1611446400000,32078.00000000,32086.75000000,31630.00000000,31876.35000000,2459.15967200,1611449999999,78349771.12170719,62163,1188.93801600,37879936.69394955,0
1611450000000,31876.35000000,32084.91000000,31752.81000000,31863.84000000,1404.06207100,1611453599999,44865889.76254837,41407,709.94800200,22689764.91278492,0
1611453600000,31860.76000000,32300.00000000,31784.66000000,32096.04000000,1774.93647700,1611457199999,56950530.36653801,47793,921.97673500,29583099.90476307,0
1611457200000,32096.04000000,32480.06000000,32020.00000000,32480.05000000,2128.03865000,1611460799999,68576072.72203130,52268,1164.64489800,37534165.61903892,0
