Kline open time,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2019-09-08 12:00:00 AM,10000,10412.65,10000,10391.63,3096.291,3754,0.039
2019-09-09 12:00:00 AM,10316.62,10475.54,10077.22,10307,14824.373,11296,5452.451
2019-09-10 12:00:00 AM,10307,10382.97,9940.87,10102.02,9068.955,10089,6395.462
2019-09-11 12:00:00 AM,10094.27,10293.11,9884.31,10159.55,10897.922,13811,7724.442
2019-09-12 12:00:00 AM,10163.06,10450.13,10042.12,10415.13,15609.634,20060,10117.798
2019-09-13 12:00:00 AM,10414.96,10440.55,10153.51,10341.34,19252.721,29249,9717.128
2019-09-14 12:00:00 AM,10343.01,10419.97,10222.77,10332.25,20656.624,30436,9522.547
2019-09-15 12:00:00 AM,10333.47,10359.20,10024.81,10302.22,20536.255,25912,7430.161
2019-09-16 12:00:00 AM,10302,10353.81,10080.70,10249.27,20185.637,31837,6954.582
2019-09-17 12:00:00 AM,10257.30,10270.63,10136.77,10186.52,22519.607,31535,12669.109
2019-09-18 12:00:00 AM,10183.87,10256.65,10097.92,10155.16,20832.895,30799,13464.203
2019-09-19 12:00:00 AM,10154.70,10331.62,9530.02,10245.30,26228.754,41871,10213.792
2019-09-20 12:00:00 AM,10247.70,10279.30,10070.50,10166.35,23265.910,31054,9517.128
2019-09-21 12:00:00 AM,10166.56,10175.30,9912.63,9983.33,23642.387,32670,8219.618
2019-09-22 12:00:00 AM,9992.70,10089.52,9857,10023.04,23916.354,33401,10466.395
2019-09-23 12:00:00 AM,10027.69,10046.91,9620,9701.96,31927.062,42190,14924.551
2019-09-24 12:00:00 AM,8683.20,9792.83,8645.61,8645.61,29758.535,46730,14817.318
2019-09-25 12:00:00 AM,8493.32,8725.24,8200,8430.07,48222.102,85707,24972.130
2019-09-26 12:00:00 AM,8428.15,8464.40,7700.67,8060.15,60065.945,110581,29931.388
2019-09-27 12:00:00 AM,8061.98,8260,7851.94,8176.52,40034.653,80396,20960.862
2019-09-28 12:00:00 AM,8178.26,8311,8001.14,8195.38,33820.919,69220,16862.162
2019-09-29 12:00:00 AM,8199,8226.35,7888.98,8041.96,35966.056,78128,20057.619
2019-09-30 12:00:00 AM,8042.08,8331.89,7709.01,8285.84,54412.520,107329,27935.359
2019-10-01 12:00:00 AM,8285.31,8499,8171,8290,39212.804,92166,19547.744
2019-10-02 12:00:00 AM,8290,8365.92,8149.35,8352.14,30329.179,71452,13840.600
2019-10-03 12:00:00 AM,8353.40,8386,8020,8220.27,33430.230,82221,15177.823
2019-10-04 12:00:00 AM,8219.95,8227.42,7979.95,8130.56,28421.111,74683,12437.976
2019-10-05 12:00:00 AM,8130,8175,8010,8122.14,30262.006,69791,12199.701
2019-10-06 12:00:00 AM,8122.01,8148.43,7760,7852.79,41909.039,94844,19790.528
2019-10-07 12:00:00 AM,7851.01,8330,7764.42,8186.88,62760.299,115400,30547.437
2019-10-08 12:00:00 AM,8188.55,8322.01,8103.88,8167.62,44715.165,82468,20732.257
2019-10-09 12:00:00 AM,8168.33,8700,8113,8559.77,65453.643,114326,31442.175
2019-10-10 12:00:00 AM,8559.77,8640.89,8419.34,8556.02,44285.668,83861,20092.241
2019-10-11 12:00:00 AM,8557,8788,8210,8255.58,69157.964,116971,32857.382
2019-10-12 12:00:00 AM,8255.54,8397.45,8248.34,8300.22,37761.514,68373,15308.279
2019-10-13 12:00:00 AM,8300.31,8456,8137.30,8274.66,43820.913,80857,19428.260
2019-10-14 12:00:00 AM,8274.33,8381.77,8205.02,8346.05,61999.821,93034,28780.204
2019-10-15 12:00:00 AM,8346.31,8408.62,8080,8160.01,86246.749,97630,42904.665
2019-10-16 12:00:00 AM,8160.55,8184,7900.24,7992.21,70434.452,90317,37094.337
2019-10-17 12:00:00 AM,7994.76,8124.63,7930,8069.20,58354.602,80845,30214.470
2019-10-18 12:00:00 AM,8069.41,8117.30,7812,7943.94,75251.352,102381,38916.486
2019-10-19 12:00:00 AM,7945.57,8108.54,7852.12,7947.13,78024.395,98068,39948.006
2019-10-20 12:00:00 AM,7947.78,8300.50,7871.17,8218.23,78663.915,120205,40050.334
2019-10-21 12:00:00 AM,8218.23,8334.57,8150,8201.74,59928.516,100497,30160.553
2019-10-22 12:00:00 AM,8201,8290,8000,8020.89,69506.880,115709,35709.341
2019-10-23 12:00:00 AM,8020.68,8047.78,7172.76,7465,108484.139,202487,52606.530
2019-10-24 12:00:00 AM,7465.18,7495.81,7337.44,7411.35,66719.534,111756,30969.405
2019-10-25 12:00:00 AM,7410.07,8800,7359,8650,165118.926,322189,84120.471
2019-10-26 12:00:00 AM,8650,10408.48,8626.89,9232.22,248161.161,503375,122864.960
2019-10-27 12:00:00 AM,9234.75,9803.83,9066.07,9533.32,163544.019,309972,80566.537
2019-10-28 12:00:00 AM,9534.37,9930.13,9156.03,9217.36,155599.975,279048,76273.351
2019-10-29 12:00:00 AM,9215.78,9569.10,9070,9415.02,124703.014,242823,62048.878
2019-10-30 12:00:00 AM,9415.02,9418.65,8975.72,9165.30,98464.858,233836,48285.836
2019-10-31 12:00:00 AM,9163.40,9438.64,8933,9150,98836.044,247658,48306.456
2019-11-01 12:00:00 AM,9149.88,9280,9050.27,9231.01,87256.949,237247,43597.276
2019-11-02 12:00:00 AM,9231.70,9375,9194.98,9287.80,56602.055,163182,28059.740
2019-11-03 12:00:00 AM,9288.96,9366.69,9073,9197.88,75612.722,257133,36510.146
2019-11-04 12:00:00 AM,9197.86,9550,9126.01,9395.46,90433.357,248571,45855.157
2019-11-05 12:00:00 AM,9395.47,9457.13,9164.33,9313.20,113738.226,276198,55746.252
2019-11-06 12:00:00 AM,9313.10,9450,9259.48,9343.60,73767.911,190226,36712.807
2019-11-07 12:00:00 AM,9344.29,9381.93,9091.20,9219.64,77389.569,178691,37470.371
2019-11-08 12:00:00 AM,9221.63,9259.30,8669.85,8775.03,151851.160,319405,72769.692
2019-11-09 12:00:00 AM,8775.60,8878,8727,8811.15,66846.392,183364,33155.841
2019-11-10 12:00:00 AM,8811.30,9187,8760,9041.31,91099.197,245197,46128.500
2019-11-11 12:00:00 AM,9041.31,9072.91,8611.11,8728.93,113373.762,324917,54699.882
2019-11-12 12:00:00 AM,8729.89,8889.06,8552.12,8817,107520.546,287214,53715.539
2019-11-13 12:00:00 AM,8817.94,8838,8712,8774.76,58585.811,163995,28973.713
2019-11-14 12:00:00 AM,8774.78,8798.06,8581.39,8642.25,87099.995,225625,42551.679
2019-11-15 12:00:00 AM,8642.47,8780,8380,8473.27,145602.497,368156,70893.746
2019-11-16 12:00:00 AM,8473.30,8540.54,8435,8491.06,48657.040,152747,24188.913
2019-11-17 12:00:00 AM,8491.18,8631,8355.78,8504.04,72152.266,215149,35856.741
2019-11-18 12:00:00 AM,8504.13,8504.71,8050,8183.26,123477.142,363313,57762.941
2019-11-19 12:00:00 AM,8183.30,8212.87,8000,8131.70,110854.030,294385,55317.768
2019-11-20 12:00:00 AM,8131.12,8230,8037.50,8094.05,87352.380,241974,42908.637
2019-11-21 12:00:00 AM,8094.57,8131.51,7432,7621.90,180289.189,412277,85629.625
2019-11-22 12:00:00 AM,7621.89,7765.03,6762.73,7262.72,371213.951,999166,181934.585
2019-11-23 12:00:00 AM,7261.89,7345.84,7073.38,7305.99,139643.311,378359,69436.266
2019-11-24 12:00:00 AM,7306.19,7324.92,6855.91,6900.86,183676.078,504021,90242.175
2019-11-25 12:00:00 AM,6899.77,7386.29,6510.19,7102.03,333987.914,926856,166657.753
2019-11-26 12:00:00 AM,7103.34,7340.06,7011.90,7150,193962.094,525112,96641.345
