Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1579046400000,165.75,172.18,159.35,166.60,1391999.279,1579132799999,230286716.67757,161755,659342.288,109136637.08767,0
1579132800000,166.61,167.63,158.43,164.37,784199.474,1579219199999,127461014.43638,96110,371086.603,60358530.56161,0
1579219200000,164.39,174.79,162.27,170.06,946707.348,1579305599999,160259747.79844,132234,457329.539,77442370.40568,0
1579305600000,170.06,179.57,165.08,174.43,819444.357,1579391999999,142262348.68168,126514,390507.838,67879871.85541,0
1579392000000,174.37,178.42,161.81,167.04,742371.819,1579478399999,125956521.72340,123733,340703.545,57894394.44088,0
1579478400000,167.04,169.48,161.50,167.03,390055.869,1579564799999,64624702.00634,60886,177886.786,29490461.02375,0
1579564800000,167.01,170.34,165.02,169.52,351565.999,1579651199999,58986902.98569,48717,170834.392,28676762.37858,0
1579651200000,169.62,171.61,166.12,168.19,334378.174,1579737599999,56350595.56504,46337,163071.874,27491493.08245,0
1579737600000,168.24,168.38,159.41,162.97,481102.220,1579823999999,78583548.01533,67538,222287.501,36313451.31092,0
1579824000000,162.97,164.65,155.72,162.63,472568.424,1579910399999,75924771.97144,64720,227946.374,36649321.72762,0
1579910400000,162.66,163.00,157.80,160.52,282785.555,1579996799999,45339862.12769,42072,139386.142,22353858.35028,0
1579996800000,160.50,168.16,159.50,167.90,326188.863,1580083199999,53409274.40732,43835,165546.267,27127146.45932,0
1580083200000,167.98,172.26,165.28,170.21,418039.792,1580169599999,70720869.02324,53201,205608.964,34806573.43452,0
1580169600000,170.25,176.70,170.22,175.88,525282.459,1580255999999,90758791.20274,72110,270004.061,46676300.09117,0
1580256000000,175.89,178.85,173.30,173.80,401619.605,1580342399999,70901067.68041,57915,185615.397,32786299.58685,0
1580342400000,173.86,187.40,171.07,185.14,653770.608,1580428799999,116665433.71156,86918,326526.705,58296995.18522,0
1580428800000,185.16,186.34,175.50,180.14,672522.049,1580515199999,121744510.77084,82806,314492.275,56925203.37113,0
1580515200000,180.14,184.58,179.41,183.82,526688.019,1580601599999,96080885.54872,73274,249313.968,45501296.89903,0
1580601600000,183.80,193.70,179.00,188.59,907342.798,1580687999999,170846713.44708,136351,466111.723,87794354.83827,0
1580688000000,188.64,195.45,186.65,189.92,652054.538,1580774399999,124122130.70399,91435,316307.928,60255705.27633,0
1580774400000,189.89,191.76,184.71,189.01,614290.379,1580860799999,115364577.74246,80668,291973.564,54837961.94932,0
1580860800000,189.00,208.18,188.26,204.10,902811.615,1580947199999,178375200.47346,110642,471954.871,93196284.84241,0
1580947200000,204.10,216.70,201.28,213.27,1254989.317,1581033599999,264288535.88063,171238,610706.400,128644935.73927,0
1581033600000,213.30,225.36,213.30,223.57,1054174.736,1581119999999,232249153.37736,135137,517661.199,114073475.57485,0
1581120000000,223.57,228.02,213.35,223.57,1090545.108,1581206399999,243043392.21839,136512,543988.258,121365032.60704,0
1581206400000,223.57,230.90,223.50,228.64,969021.787,1581292799999,220695663.91218,120637,482868.547,109983734.26184,0
1581292800000,228.71,229.96,217.32,223.03,1175671.024,1581379199999,262203105.94020,160175,558120.984,124472501.09725,0
1581379200000,223.04,239.98,218.64,237.16,1194286.448,1581465599999,272327898.64944,165529,602437.545,137454951.49244,0
1581465600000,237.17,277.97,237.17,266.24,2223807.477,1581551999999,574225360.14547,334904,1114986.260,288056590.60030,0
1581552000000,266.26,278.80,256.20,268.48,2386998.020,1581638399999,639755030.53358,373205,1154240.280,309528635.82975,0
1581638400000,268.48,287.58,260.53,285.40,1447161.175,1581724799999,395789382.38502,239287,734046.309,200955793.60695,0
1581724800000,285.40,289.00,262.41,265.08,1925220.413,1581811199999,529235758.42768,300463,912474.572,250947476.47505,0
1581811200000,265.16,274.30,237.86,258.87,2297491.401,1581897599999,594576100.72784,379609,1101439.466,285170253.02842,0
1581897600000,258.87,268.81,242.32,268.00,2129022.892,1581983999999,538264137.14580,384716,1063497.823,269082793.60059,0
1581984000000,267.99,286.48,258.78,282.96,1885124.383,1582070399999,515176525.90584,295234,943749.819,258123817.01442,0
1582070400000,282.96,286.70,250.00,258.43,1677778.697,1582156799999,459670219.19239,276538,782917.559,215013605.81283,0
1582156800000,258.39,264.32,245.91,257.11,1618473.989,1582243199999,415072958.53042,371065,790782.295,202893315.78492,0
1582243200000,257.18,268.50,253.89,265.44,985301.295,1582329599999,258780144.08535,186008,485006.490,127416333.80961,0
1582329600000,265.45,267.16,256.23,261.83,752957.418,1582415999999,196960689.68890,168666,369197.715,96597080.93081,0
1582416000000,261.82,275.84,261.50,274.67,940831.980,1582502399999,254128741.02017,195861,489965.233,132338552.23739,0
1582502400000,274.66,277.26,257.50,265.70,1483265.023,1582588799999,396190156.06157,292530,692233.134,184921494.22730,0
1582588800000,265.69,266.40,244.57,247.03,1563901.657,1582675199999,399165818.02308,307867,753421.526,192365512.49983,0
1582675200000,247.03,250.54,215.75,224.10,2729291.802,1582761599999,633303689.86963,505295,1294649.229,300389579.23579,0
1582761600000,224.13,238.58,210.01,227.92,2374539.334,1582847999999,536493997.29536,538634,1175706.614,265615392.59061,0
1582848000000,227.93,234.93,214.25,227.09,2026863.186,1582934399999,454376453.34299,416639,1002979.415,224893570.98125,0
1582934400000,227.04,233.33,217.14,217.31,1309444.250,1583020799999,295997709.37920,239830,625224.350,141413408.27497,0
1583020800000,217.37,228.00,212.33,218.01,1775078.523,1583107199999,390456164.99470,319189,873539.551,192263823.94329,0
1583107200000,218.01,234.50,216.24,232.22,1604040.396,1583193599999,362061880.36415,252090,804595.090,181574683.73656,0
1583193600000,232.24,232.67,220.21,224.10,1544830.651,1583279999999,350368765.18825,250480,748718.782,169868271.66981,0
1583280000000,224.10,229.00,220.45,224.47,1027175.512,1583366399999,230726528.92651,164273,496362.497,111524927.56144,0
1583366400000,224.43,234.26,224.43,228.64,1142530.928,1583452799999,262593712.18975,190706,567305.418,130380228.47648,0
1583452800000,228.63,245.38,227.60,244.94,1307956.340,1583539199999,309193535.18403,210885,663718.468,156959651.82331,0
1583539200000,244.97,251.80,236.30,237.34,1637057.953,1583625599999,398551973.39385,262341,794974.814,193632844.45290,0
1583625600000,237.36,237.38,195.35,199.54,3150036.792,1583711999999,684775390.09688,435510,1469323.237,319723551.04261,0
1583712000000,199.54,208.65,190.02,203.02,3885205.704,1583798399999,778277652.87276,558024,1909913.080,382744254.68392,0
1583798400000,202.95,206.32,195.66,200.95,2008333.356,1583884799999,405031566.29724,342612,968753.168,195462480.47501,0
1583884800000,200.90,203.26,181.88,194.81,2125322.090,1583971199999,410229505.12859,377831,1026948.354,198332325.09505,0
1583971200000,194.77,195.81,95.00,106.71,7116256.717,1584057599999,1042747529.18930,876766,3369170.276,492278540.99367,0
1584057600000,106.97,323.00,84.23,134.13,6584772.112,1584143999999,787562869.66480,1143787,3275393.829,392613471.47557,0
1584144000000,134.10,134.67,121.16,122.55,1845475.252,1584230399999,237313127.06988,291746,937461.574,120658029.94881,0
1584230400000,122.56,133.85,120.40,123.89,1802030.406,1584316799999,224638895.20642,341902,907501.148,113274408.82917,0
1584316800000,123.87,124.40,100.11,111.06,3622097.906,1584403199999,400195138.40241,633699,1871621.829,206872438.70104,0
1584403200000,111.04,121.55,109.34,115.68,2053691.349,1584489599999,239015139.83578,432785,1051709.940,122482731.52630,0
1584489600000,115.67,118.59,109.78,118.16,1583517.464,1584575999999,181277993.24376,367376,796605.638,91263909.29590,0
1584576000000,118.12,143.34,115.50,136.42,2098800.654,1584662399999,270554423.25128,422407,1077019.514,139051491.67331,0
1584662400000,136.42,152.68,116.67,133.52,3128620.956,1584748799999,431165491.64371,607243,1539260.894,212671989.18522,0
1584748800000,133.48,137.58,125.58,132.67,1933564.299,1584835199999,254848453.29529,402245,985271.532,129897772.29271,0
1584835200000,132.64,137.20,121.00,122.25,1724360.751,1584921599999,222080052.34143,362939,860046.035,110847491.54901,0
1584921600000,122.27,137.67,119.00,135.96,1950909.243,1585007999999,250208240.74389,464331,1038397.939,133246554.66263,0
1585008000000,135.96,143.44,132.41,138.38,1745190.832,1585094399999,239985908.84741,517026,873953.807,120177175.35562,0
1585094400000,138.39,142.46,132.36,136.10,1448291.794,1585180799999,198316846.12547,431364,747223.385,102368005.35048,0
1585180800000,136.11,139.80,133.18,138.41,1069528.365,1585267199999,144970764.16497,307363,569052.280,77184947.46968,0
1585267200000,138.36,141.44,129.16,131.27,1024307.980,1585353599999,139707188.15309,277914,506564.725,69182079.17342,0
1585353600000,131.24,132.93,124.52,130.95,1335630.330,1585439999999,171695997.87213,342445,693938.306,89279784.30567,0
1585440000000,130.97,131.77,123.74,124.40,848667.965,1585526399999,108415730.52964,218262,441943.126,56521126.70540,0
1585526400000,124.42,135.13,123.93,132.04,1187536.733,1585612799999,155662722.12980,266063,658190.215,86273869.32986,0
1585612800000,132.07,135.00,130.33,132.61,896493.378,1585699199999,118826469.17698,205235,479586.304,63597113.07116,0
1585699200000,132.60,137.22,128.27,135.60,1143905.195,1585785599999,151016360.22430,230834,605099.783,79955721.67352,0
1585785600000,135.60,149.97,135.00,141.30,1694646.358,1585871999999,238001714.23101,380867,882634.086,123922347.88563,0
