Kline open time,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2019-11-27 12:00:00 AM,146,155.66,125.03,152.52,115911.840,13143,53283.610
2019-11-28 12:00:00 AM,154.29,156.52,146.41,150.48,116824.070,19847,26295.144
2019-11-29 12:00:00 AM,150.56,157.40,150.55,154.41,167906.104,31539,69723.600
2019-11-30 12:00:00 AM,154.40,155.15,149.66,151.38,370491.615,44923,135195.907
2019-12-01 12:00:00 AM,151.38,152.50,145.50,150.65,394494.119,46005,143318.592
2019-12-02 12:00:00 AM,150.72,151.30,146.67,148.59,395630.910,42498,145520.355
2019-12-03 12:00:00 AM,148.59,149.80,145.62,147.10,495996.573,47707,226933.611
2019-12-04 12:00:00 AM,147.12,152.22,142.96,145.35,684404.817,47342,335154.560
2019-12-05 12:00:00 AM,145.36,148.88,143.77,148.04,441113.912,31714,220098.933
2019-12-06 12:00:00 AM,148.08,149.50,145.66,148.41,334645.217,32781,168062.635
2019-12-07 12:00:00 AM,148.41,149.42,146.77,147.10,239185.310,25825,118600.823
2019-12-08 12:00:00 AM,147.08,156.25,146.01,150.41,260610.870,25401,135162.005
2019-12-09 12:00:00 AM,150.41,151.15,146.55,147.37,296475.449,26976,142571.841
2019-12-10 12:00:00 AM,147.36,148.39,143.78,145.55,253852.598,27022,120351.720
2019-12-11 12:00:00 AM,142.83,142.87,142.74,142.76,158.649,33,18.538
2019-12-12 12:00:00 AM,143.36,145.80,139.05,144.80,372077.814,34519,184261.465
2019-12-13 12:00:00 AM,144.80,145.20,143,144.70,183068.201,20860,87282.902
2019-12-14 12:00:00 AM,144.71,144.97,141.05,141.77,187036.667,18526,83508.190
2019-12-15 12:00:00 AM,141.77,144,139.89,142.39,230729.834,22835,111485.621
2019-12-16 12:00:00 AM,142.46,142.63,128.59,132.59,553596.159,67884,258497.378
2019-12-17 12:00:00 AM,132.60,132.84,119.10,121.87,613475.540,73757,296764.742
2019-12-18 12:00:00 AM,121.90,134.75,115.95,132.74,1013697.094,127648,520545.004
2019-12-19 12:00:00 AM,132.78,133.79,125.66,128.03,637508.534,75003,319406.269
2019-12-20 12:00:00 AM,128.03,129.33,125.73,128.13,346553.796,36582,164191.976
2019-12-21 12:00:00 AM,128.13,128.52,126.50,126.99,208331.595,26490,100017.444
2019-12-22 12:00:00 AM,126.99,133.33,126.78,132.14,443907.086,46744,225493.471
2019-12-23 12:00:00 AM,132.18,135.09,126.01,127.73,698722.014,67719,339876.665
2019-12-24 12:00:00 AM,127.75,129.67,126.45,127.76,497534.945,43791,246675.930
2019-12-25 12:00:00 AM,127.72,127.83,123,125.06,455279.225,41175,219399.642
2019-12-26 12:00:00 AM,125.06,132.44,124.33,125.53,583380.778,59409,293938.449
2019-12-27 12:00:00 AM,125.53,127.06,122,126.21,567887.536,53297,276495.098
2019-12-28 12:00:00 AM,126.24,129.62,125.77,128.04,468730.855,40944,234745.198
2019-12-29 12:00:00 AM,128.02,138.25,127.50,134.28,771614.663,65386,401061.702
2019-12-30 12:00:00 AM,134.22,136.21,130.19,131.52,692165.824,58885,334289.973
2019-12-31 12:00:00 AM,131.53,133.64,128.15,129.12,647743.359,54948,313555.875
2020-01-01 12:00:00 AM,129.12,132.96,128.62,130.62,466063.929,40168,232492.871
2020-01-02 12:00:00 AM,130.63,130.75,126.25,127.11,523582.924,47479,253840.635
2020-01-03 12:00:00 AM,127.11,135.07,125.78,134.29,951123.597,106861,486159.153
2020-01-04 12:00:00 AM,134.31,135.80,132.41,134.14,509778.108,65138,257304.840
2020-01-05 12:00:00 AM,134.14,138.17,134.12,135.33,669677.687,71080,332189.944
2020-01-06 12:00:00 AM,135.32,144.38,134.82,144.04,1095147.166,89851,565039.363
2020-01-07 12:00:00 AM,144.11,145.25,138.70,142.86,963331.505,82275,481985.847
2020-01-08 12:00:00 AM,142.86,147.94,137.15,140.75,1208133.766,117669,593769.495
2020-01-09 12:00:00 AM,140.76,141.52,135.33,137.73,956864.213,79801,460011.726
2020-01-10 12:00:00 AM,137.73,145.15,135.22,144.80,908378.249,88107,451491.742
2020-01-11 12:00:00 AM,144.80,148.03,142.00,142.40,832163.204,83777,400748.783
2020-01-12 12:00:00 AM,142.40,146.60,141.71,146.57,630256.911,63661,329084.039
2020-01-13 12:00:00 AM,146.57,147.00,142.32,143.58,558655.672,55178,279441.457
2020-01-14 12:00:00 AM,143.57,171.00,143.49,165.77,2169559.414,200718,1093708.213
2020-01-15 12:00:00 AM,165.75,172.18,159.35,166.60,1391999.279,161755,659342.288
2020-01-16 12:00:00 AM,166.61,167.63,158.43,164.37,784199.474,96110,371086.603
2020-01-17 12:00:00 AM,164.39,174.79,162.27,170.06,946707.348,132234,457329.539
2020-01-18 12:00:00 AM,170.06,179.57,165.08,174.43,819444.357,126514,390507.838
2020-01-19 12:00:00 AM,174.37,178.42,161.81,167.04,742371.819,123733,340703.545
2020-01-20 12:00:00 AM,167.04,169.48,161.50,167.03,390055.869,60886,177886.786
2020-01-21 12:00:00 AM,167.01,170.34,165.02,169.52,351565.999,48717,170834.392
2020-01-22 12:00:00 AM,169.62,171.61,166.12,168.19,334378.174,46337,163071.874
2020-01-23 12:00:00 AM,168.24,168.38,159.41,162.97,481102.220,67538,222287.501
2020-01-24 12:00:00 AM,162.97,164.65,155.72,162.63,472568.424,64720,227946.374
2020-01-25 12:00:00 AM,162.66,163.00,157.80,160.52,282785.555,42072,139386.142
2020-01-26 12:00:00 AM,160.50,168.16,159.50,167.90,326188.863,43835,165546.267
2020-01-27 12:00:00 AM,167.98,172.26,165.28,170.21,418039.792,53201,205608.964
2020-01-28 12:00:00 AM,170.25,176.70,170.22,175.88,525282.459,72110,270004.061
2020-01-29 12:00:00 AM,175.89,178.85,173.30,173.80,401619.605,57915,185615.397
2020-01-30 12:00:00 AM,173.86,187.40,171.07,185.14,653770.608,86918,326526.705
2020-01-31 12:00:00 AM,185.16,186.34,175.50,180.14,672522.049,82806,314492.275
2020-02-01 12:00:00 AM,180.14,184.58,179.41,183.82,526688.019,73274,249313.968
2020-02-02 12:00:00 AM,183.80,193.70,179.00,188.59,907342.798,136351,466111.723
