Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582473600000,9873.24,9905.00,9860.00,9882.01,6889.505,1582487999999,68115689.25446,19939,3234.083,31974595.44090,0
1582488000000,9882.03,9980.29,9852.00,9943.12,15736.180,1582502399999,156160132.43643,38026,8261.566,82015711.19306,0
1582502400000,9943.12,10000.00,9560.00,9759.23,40657.769,1582516799999,399062452.09795,90625,17878.250,175580601.90285,0
1582516800000,9759.24,9767.99,9668.00,9756.87,18001.178,1582531199999,175201643.89745,40333,8620.227,83916382.09066,0
1582531200000,9756.86,9827.92,9702.00,9816.20,17425.087,1582545599999,170027443.45931,38655,8546.175,83412335.32291,0
1582545600000,9816.21,9848.20,9676.24,9709.79,27554.446,1582559999999,269127555.05791,61526,13048.307,127473873.10843,0
1582560000000,9710.32,9740.00,9487.38,9608.40,38442.595,1582574399999,369525294.44783,90678,17806.902,171228392.49504,0
1582574400000,9608.88,9680.00,9574.01,9662.95,15884.596,1582588799999,152844635.69681,35853,7788.525,74947483.84868,0
1582588800000,9662.88,9680.00,9574.12,9588.77,12362.127,1582603199999,118843233.66844,27102,5965.740,57347126.93229,0
1582603200000,9588.32,9614.48,9497.50,9530.57,18559.237,1582617599999,177223815.36831,39773,9071.764,86628259.26986,0
1582617600000,9530.56,9658.00,9501.02,9632.00,23240.035,1582631999999,222523584.94835,52123,12136.992,116228574.23089,0
1582632000000,9634.29,9686.78,9357.60,9404.39,46673.935,1582646399999,443179063.06395,107715,21076.251,200227553.50930,0
1582646400000,9404.93,9466.48,9285.66,9368.30,37191.922,1582660799999,348216888.99967,80297,17755.038,166277996.89398,0
1582660800000,9368.59,9434.65,9247.00,9326.00,30614.469,1582675199999,286329482.50737,63343,14601.092,136628555.98799,0
1582675200000,9326.00,9384.00,9117.71,9178.92,38363.262,1582689599999,353994888.22320,81950,17455.641,161077781.39088,0
1582689600000,9178.92,9230.72,9130.00,9157.61,21741.146,1582703999999,199695128.70947,43825,10533.325,96774453.44354,0
1582704000000,9158.52,9241.73,9116.00,9170.01,28263.287,1582718399999,259239127.82761,59027,13786.501,126474320.90186,0
1582718400000,9170.00,9300.00,8981.06,9004.24,76667.011,1582732799999,699063015.88472,175748,35686.547,325554902.10026,0
1582732800000,9004.08,9040.00,8610.00,8838.29,79977.143,1582747199999,703313447.17977,181369,37278.471,327695153.14909,0
1582747200000,8838.30,8869.00,8720.00,8792.22,21993.323,1582761599999,193698796.75110,52636,10515.742,92619204.15420,0
1582761600000,8793.96,8798.09,8533.90,8745.50,49497.137,1582775999999,428848115.72986,106568,24152.232,209280627.79093,0
1582776000000,8745.49,8836.56,8675.98,8819.07,22738.520,1582790399999,199421266.77160,53789,11168.911,97948407.95829,0
1582790400000,8817.71,8862.00,8742.20,8808.00,24312.386,1582804799999,214094153.09471,55416,11787.140,103796980.49848,0
1582804800000,8808.00,8947.00,8750.56,8851.14,42817.894,1582819199999,378883506.45243,104946,21797.522,192948131.20443,0
1582819200000,8851.14,8978.00,8847.37,8919.41,29348.734,1582833599999,261612725.21629,58186,15410.608,137402517.56723,0
1582833600000,8920.00,8921.00,8684.46,8828.00,31923.817,1582847999999,280719100.88947,68856,15015.446,132007159.32646,0
1582848000000,8827.12,8908.86,8790.00,8842.11,18490.201,1582862399999,163849089.78888,41466,9733.864,86267092.34105,0
1582862400000,8842.11,8869.15,8702.00,8736.05,17951.732,1582876799999,157614267.22785,45127,8522.687,74865567.93841,0
