date,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2022-03-30 03:00:00 AM,47191.20,47444.00,47176.00,47408.10,7596.869,72351,3899.876
2022-03-30 04:00:00 AM,47408.10,47444.00,47125.40,47235.20,6253.497,69061,3118.642
2022-03-30 05:00:00 AM,47235.20,47548.90,47184.60,47487.20,7525.471,80902,4158.172
2022-03-30 06:00:00 AM,47487.20,47585.40,47346.00,47406.00,6530.885,69478,3151.314
2022-03-30 07:00:00 AM,47406.00,47517.30,47324.90,47371.60,5617.008,54874,2707.424
2022-03-30 08:00:00 AM,47371.50,47506.40,47188.00,47431.90,10751.895,92989,5336.817
2022-03-30 09:00:00 AM,47432.00,47454.20,47206.00,47263.50,5995.582,59900,2702.552
2022-03-30 10:00:00 AM,47263.40,47335.00,47203.40,47273.70,4878.054,56583,2576.335
2022-03-30 11:00:00 AM,47275.00,47468.70,47048.00,47318.10,12581.339,112794,6384.570
2022-03-30 12:00:00 PM,47318.00,47345.50,47141.80,47285.10,7036.043,71148,3264.853
2022-03-30 01:00:00 PM,47285.10,47303.00,46914.90,46990.60,14733.150,147292,6891.322
2022-03-30 02:00:00 PM,46990.60,47219.70,46850.00,47100.20,13203.156,133242,6289.494
2022-03-30 03:00:00 PM,47100.10,47179.30,46901.10,47153.70,9334.449,95609,4715.840
2022-03-30 04:00:00 PM,47151.00,47338.00,47027.90,47231.20,10525.978,101466,5502.588
2022-03-30 05:00:00 PM,47231.20,47688.00,47164.50,47640.10,15722.368,137182,8534.194
2022-03-30 06:00:00 PM,47640.00,47688.60,47040.60,47109.20,14044.845,133103,6052.438
2022-03-30 07:00:00 PM,47109.10,47173.00,46819.90,47061.20,16573.271,156287,8614.641
2022-03-30 08:00:00 PM,47061.10,47283.60,46985.60,47242.30,7252.450,74123,3831.021
2022-03-30 09:00:00 PM,47242.30,47280.60,46881.10,46973.00,7169.989,74897,3094.100
2022-03-30 10:00:00 PM,46973.10,47076.20,46826.40,47074.90,6788.742,67504,3349.439
2022-03-30 11:00:00 PM,47074.90,47160.00,46980.30,47053.20,4250.631,55843,1879.808
2022-03-31 12:00:00 AM,47053.10,47250.00,46950.00,47139.20,5257.439,54619,2793.418
2022-03-31 01:00:00 AM,47139.10,47408.70,47125.00,47380.10,5953.960,56774,3294.075
2022-03-31 02:00:00 AM,47380.10,47398.20,47161.20,47206.10,4451.067,50365,1851.920
2022-03-31 03:00:00 AM,47206.20,47235.50,47056.00,47088.40,4150.407,48335,1840.405
2022-03-31 04:00:00 AM,47088.30,47143.30,46980.00,47011.80,5371.315,56070,2637.905
2022-03-31 05:00:00 AM,47011.80,47138.80,46890.00,47083.60,8764.871,70864,4547.259
2022-03-31 06:00:00 AM,47083.60,47154.90,47011.90,47100.10,3215.319,38754,1526.696
2022-03-31 07:00:00 AM,47100.00,47160.00,47032.80,47140.00,3274.497,34975,1809.296
2022-03-31 08:00:00 AM,47140.00,47321.50,47066.50,47223.20,8896.801,90120,4713.336
2022-03-31 09:00:00 AM,47223.90,47330.00,47115.20,47284.30,6222.565,69565,3160.342
2022-03-31 10:00:00 AM,47284.20,47385.50,47194.00,47266.50,5848.828,59634,2911.518
2022-03-31 11:00:00 AM,47266.40,47274.00,47070.10,47146.50,4724.821,53595,2088.574
2022-03-31 12:00:00 PM,47146.50,47541.10,47110.00,47383.50,14994.305,124675,7919.921
2022-03-31 01:00:00 PM,47383.40,47619.40,46900.00,46905.40,29100.053,225289,13460.762
2022-03-31 02:00:00 PM,46905.40,46912.40,46200.00,46680.40,49206.863,426301,23941.162
2022-03-31 03:00:00 PM,46680.40,46800.00,46335.90,46450.00,16914.553,150113,8128.142
2022-03-31 04:00:00 PM,46450.10,46495.60,45660.00,45692.30,45036.382,371608,20809.090
2022-03-31 05:00:00 PM,45695.40,45899.00,45632.10,45824.40,14619.317,141684,7599.544
2022-03-31 06:00:00 PM,45824.30,45960.90,45593.00,45946.90,12788.937,119813,6046.397
2022-03-31 07:00:00 PM,45946.90,45986.10,45469.30,45578.10,16711.045,141988,7303.443
2022-03-31 08:00:00 PM,45578.10,45789.90,45506.60,45741.90,9730.602,84752,4967.419
2022-03-31 09:00:00 PM,45741.90,45852.20,45638.10,45736.10,4531.138,51994,2284.994
2022-03-31 10:00:00 PM,45736.20,45814.90,45646.70,45782.30,4252.388,52166,2012.853
2022-03-31 11:00:00 PM,45782.20,45788.60,45185.00,45506.00,15820.137,130471,6996.809
2022-04-01 12:00:00 AM,45505.90,45638.90,45338.30,45539.40,10308.452,89650,5147.236
2022-04-01 01:00:00 AM,45539.30,45539.40,44861.10,44926.10,24579.161,192498,10527.527
2022-04-01 02:00:00 AM,44926.10,45060.30,44206.20,44394.40,38167.939,290319,17291.661
2022-04-01 03:00:00 AM,44394.30,44585.00,44252.20,44585.00,16307.838,128843,8052.841
2022-04-01 04:00:00 AM,44584.90,44768.00,44530.80,44625.80,11550.611,96986,5846.677
2022-04-01 05:00:00 AM,44625.80,44777.00,44555.50,44624.00,8432.803,70403,3603.247
2022-04-01 06:00:00 AM,44623.90,44814.90,44549.40,44773.90,6648.601,72935,3674.093
2022-04-01 07:00:00 AM,44774.00,45084.20,44770.00,44993.80,12110.906,103854,6359.662
2022-04-01 08:00:00 AM,44993.70,45307.90,44976.70,45112.00,17440.126,130288,8361.986
2022-04-01 09:00:00 AM,45112.10,45219.10,44965.00,45062.80,9605.534,91208,4476.211
2022-04-01 10:00:00 AM,45062.70,45222.40,45006.40,45200.10,5422.575,61713,2895.076
2022-04-01 11:00:00 AM,45200.20,45248.70,45001.10,45045.20,8164.395,78933,3589.294
2022-04-01 12:00:00 PM,45045.10,45419.10,44680.90,45219.10,30712.220,237366,16015.517
2022-04-01 01:00:00 PM,45219.20,45579.90,45216.60,45408.00,19747.004,172750,9509.952
2022-04-01 02:00:00 PM,45407.90,46171.00,45396.30,46096.70,26932.206,222047,14624.938
2022-04-01 03:00:00 PM,46096.70,46700.00,46087.10,46523.50,40745.596,336687,21001.544
2022-04-01 04:00:00 PM,46523.60,46585.30,46014.80,46017.50,17156.608,154190,7818.444
2022-04-01 05:00:00 PM,46017.50,46530.00,45883.90,46449.20,18247.499,156880,9173.962
2022-04-01 06:00:00 PM,46448.20,46583.10,46220.70,46321.40,10261.493,89848,5007.728
2022-04-01 07:00:00 PM,46321.40,46380.00,46111.00,46349.40,7541.291,73906,3914.299
2022-04-01 08:00:00 PM,46349.50,46368.00,46056.60,46131.20,5115.252,61999,2243.683
2022-04-01 09:00:00 PM,46131.20,46427.40,46125.00,46294.80,5030.421,56851,2802.552
2022-04-01 10:00:00 PM,46294.90,46380.40,46134.60,46360.40,5795.137,56733,2849.211
